"Taxonomy"	"Mortierellales"	"Eurotiales"	"Hypocreales"	"Thelebolales"	"Incertae_sedis_Ascomycota"	"Pleosporales"	"Sordariales"	"Cantharellales"	"Saccharomycetales"	"Microascales"	"Chaetothyriales"	"Incertae_sedis_Sordariomycetes"	"Helotiales"	"Incertae_sedis_Dothideomycetes"	"Trichosphaeriales"	"Pezizales"	"Corticiales"	"Rhizophlyctidales"	"Incertae_sedis_Leotiomycetes"	"Amylocorticiales"	"Kickxellales"	"Ustilaginales"	"Agaricales"	"Orbiliales"	"Chytridiales"	"Sporidiobolales"	"Onygenales"	"Xylariales"	"Spizellomycetales"	"Cystofilobasidiales"	"Diversisporales"	"Mucorales"	"Glomerales"	"Tremellales"	"Capnodiales"	"Sebacinales"	"Blastocladiales"	"Polyporales"	"Russulales"	"Incertae_sedis_Fungi"	"Acarosporales"	"Erysiphales"	"Coniochaetales"	"Botryosphaeriales"	"Erythrobasidiales"	"Agaricostilbales"	"Auriculariales"	"Agyriales"	"Wallemiales"	"Chaetosphaeriales"	"Incertae_sedis_Agaricomycetes"	"Boletales"	"Magnaporthales"	"Malasseziales"	"Rhytismatales"	"Teloschistales"	"Melanosporales"	"Paraglomerales"	"Diaporthales"	"Venturiales"	"Archaeorhizomycetales"	"Trichosporonales"	"Taphrinales"	"Geastrales"	"Trechisporales"	"Cystobasidiales"	"Incertae_sedis_Eurotiomycetes"	"Hymenochaetales"	"Incertae_sedis_Exobasidiomycetes"	"Arachnomycetales"	"Archaeosporales"	"Geminibasidiales"	"Verrucariales"	"Tubeufiales"	"Rhizophydiales"	"Neocallimastigales"	"Thelephorales"	"Boliniales"	"Dothideales"	"Filobasidiales"	"Incertae_sedis_Tritirachiomycetes"	"Gloeophyllales"	"Olpidiales"	"Leotiales"	"Microthyriales"	"Lulworthiales"	"Atheliales"	"Others"
"PHJ75_Z1_3"	0.077723803	0.016308119	0.069743234	0.148854962	0.015614157	0.048230396	0.031922276	0	0	0.010409438	0.001040944	0.007286607	0.035392089	0	0.018736988	0.006245663	0	0	0.001040944	0	0.000693963	0.000346981	0.000693963	0	0.000346981	0.000346981	0.000693963	0	0.001387925	0	0.001734906	0	0.004510756	0.002428869	0.001040944	0	0	0	0.000693963	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.495836225
"PHM10_Z1_1"	0.082581541	0.022206801	0.044760583	0.000346981	0.000693963	0.016308119	0.016655101	0.000693963	0.001040944	0.010756419	0.001040944	0.006245663	0.000693963	0	0.003122831	0.001734906	0.001734906	0	0.000693963	0	0	0.009021513	0.001387925	0	0.000693963	0.000693963	0.001040944	0	0	0	0	0.000693963	0.000346981	0	0.001387925	0	0	0	0	0	0	0	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77203331
"PHM10_Z1_2"	0.095419847	0.013185288	0.063497571	0	0.009021513	0.071825121	0.015614157	0	0.023247745	0.021165857	0.001387925	0.004163775	0.003122831	0	0	0.001040944	0	0	0.001040944	0	0	0.001734906	0.002428869	0	0	0.004163775	0.000693963	0.000346981	0.000693963	0	0	0	0.000346981	0	0.002081888	0	0	0	0	0	0	0.000346981	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663081194
"PHM10_Z1_3"	0.204718945	0.057945871	0.134281749	0.05759889	0	0.056557946	0.042678695	0.001734906	0.000346981	0.015614157	0.005898681	0.014920194	0.009715475	0	0.007980569	0.007633588	0	0	0.001734906	0.001387925	0	0.003122831	0.002428869	0	0.000693963	0.003122831	0.002428869	0	0	0	0	0	0.000346981	0.000693963	0.002081888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364330326
"LH205_Z1_1"	0.049618321	0.073907009	0.051700208	0.000346981	0.009021513	0.004510756	0.009715475	0	0	0.010756419	0.000693963	0.002081888	0.002081888	0	0.000346981	0.001387925	0	0	0.001040944	0	0	0.001040944	0.002428869	0.001040944	0.000346981	0.001734906	0.000346981	0	0	0	0	0	0.001040944	0.000346981	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.773074254
"LH205_Z1_2"	0.006939625	0.020818876	0.092297016	0	0.005898681	0.189798751	0.006939625	0.00277585	0	0.000693963	0.029493407	0	0	0	0	0.023594726	0.004857738	0	0	0.000346981	0.002428869	0.036086051	0.023594726	0.022206801	0.019777932	0	0.008674532	0	0.00277585	0	0	0.000346981	0	0	0	0	0	0.000346981	0.000693963	0	0	0	0.001040944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49722415
"LH205_Z1_3"	0.289035392	0.017696044	0.099583622	0.001387925	0	0.014226232	0.028799445	0	0	0.026023595	0.003122831	0.007633588	0.001040944	0	0.002081888	0.000693963	0	0	0.001387925	0	0	0.00277585	0.001387925	0	0	0.00277585	0.002081888	0	0.001040944	0	0	0	0	0	0.001040944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496183206
"PHW51_Z1_1"	0.072172103	0.038861901	0.446217904	0.069743234	0.009021513	0.02185982	0.010062457	0.001040944	0	0.018736988	0.001734906	0.003122831	0.0055517	0	0.005204719	0.001040944	0	0.000346981	0.001387925	0	0.000346981	0.004163775	0.003469813	0.001387925	0	0.002428869	0.001734906	0	0.001734906	0.000693963	0.000693963	0.000346981	0.007980569	0.000346981	0.002081888	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265440666
"PHW51_Z1_2"	0.20055517	0.118667592	0.167938931	0.0055517	0.032269257	0.055170021	0.069743234	0.000693963	0.000346981	0.018043026	0.004163775	0.025676613	0.005204719	0	0.001387925	0.0055517	0.001040944	0	0.002428869	0	0	0.007633588	0.002428869	0.000693963	0.000346981	0.000693963	0.001734906	0	0	0	0	0.000346981	0	0.000693963	0.0055517	0	0	0	0.000693963	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264399722
"PHW51_Z1_3"	0.044760583	0.033310201	0.159611381	0.14295628	0.004163775	0.019083969	0.098542679	0	0.000346981	0.0111034	0.006245663	0.014920194	0.014226232	0.001040944	0.010409438	0.003469813	0.001040944	0	0.002081888	0.000346981	0	0.010756419	0.002428869	0	0.000346981	0.003469813	0.001734906	0	0.003816794	0	0	0	0	0	0.005898681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000693963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403192228
"B73_Z1_1"	0.175572519	0.044413602	0.135322693	0.009021513	0.000346981	0.028105482	0.026023595	0.001734906	0.001040944	0.017696044	0.003122831	0.011450382	0.002081888	0	0.001040944	0.0055517	0	0	0.007633588	0	0.001387925	0.002428869	0.003816794	0	0	0.000693963	0.00277585	0	0.001040944	0.003469813	0	0	0	0	0.003816794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510409438
"B73_Z1_2"	0.176613463	0.042678695	0.21165857	0.006245663	0.020124913	0.022206801	0.026717557	0.0111034	0	0.034004164	0.00277585	0.0111034	0.002081888	0	0.028105482	0.001734906	0	0.000346981	0.0055517	0	0.000693963	0.019430951	0.004163775	0.000346981	0.000693963	0.013532269	0.012144344	0.000346981	0.000693963	0	0	0	0.000693963	0	0.00832755	0	0	0	0	0	0	0	0.000346981	0.001387925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334142956
"B73_Z1_3"	0.081540597	0.070090215	0.092297016	0.000346981	0.003816794	0.051700208	0.06315059	0.006939625	0.001040944	0.014226232	0.00277585	0.012491325	0.009715475	0	0.001734906	0.014573213	0	0	0.001040944	0.000346981	0.000346981	0.000693963	0.006592644	0	0	0.004163775	0.001387925	0.002428869	0	0	0	0	0.007286607	0.001387925	0.004510756	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542678695
"A632_Z1_1"	0.213740458	0.035045108	0.109299098	0.002081888	0.000346981	0.015961138	0.039208883	0.001387925	0.09333796	0.028452464	0.004163775	0.017002082	0.004510756	0.071131159	0.060721721	0.001734906	0	0	0.001387925	0	0	0.005204719	0.003122831	0	0.001040944	0.003469813	0.000346981	0.000346981	0.000346981	0	0.001040944	0	0.001734906	0.002081888	0.008674532	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272727273
"A632_Z1_2"	0.139486468	0.020818876	0.231089521	0.005898681	0.037126995	0.105135323	0.051700208	0	0	0.02463567	0.002428869	0.021165857	0.002428869	0	0.019777932	0.001040944	0	0	0.002081888	0	0.000346981	0.003122831	0.003469813	0	0	0.002081888	0.00277585	0	0	0	0	0	0.002428869	0.001734906	0.002081888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001040944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316099931
"A632_Z1_3"	0.180777238	0.017002082	0.06870229	0.004163775	0.000693963	0.022900763	0.07147814	0.000346981	0	0.011797363	0.003469813	0.0055517	0.007980569	0.000693963	0.04129077	0.001387925	0	0.000346981	0	0	0.001734906	0.002428869	0.003122831	0.001387925	0.004163775	0.005898681	0	0	0	0.000346981	0	0	0.000346981	0	0.002081888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.539555864
"Mo17_Z1_1"	0.110340042	0.018390007	0.058292852	0.001734906	0	0.023941707	0.024982651	0.001387925	0.001040944	0.010409438	0.001734906	0.009021513	0.004510756	0	0.001040944	0.002428869	0	0	0.001387925	0	0	0.000346981	0.003469813	0	0	0	0.001734906	0	0	0.000693963	0.003469813	0.001734906	0.001387925	0.000346981	0.012491325	0	0	0	0	0	0	0	0	0	0	0.000346981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70333102
